date,product_id,product_name,category,supplier,qty_sold,price_usd
2025-08-25,P001,Espresso Beans 250g,Beverage,Gourmet Beans,8,7.58
2025-08-25,P002,Espresso Beans 1kg,Beverage,BeverageHub,16,2.81
2025-08-25,P003,Ground Coffee 500g,Beverage,BeverageHub,41,7.25
2025-08-25,P004,Latte Milk 1L,Dairy,QuickSupplies,4,7.78
2025-08-25,P005,Oat Milk 1L,Dairy,Local Bakery Co,6,9.61
2025-08-25,P006,Croissant,Bakery,FreshDairy,5,6.35
2025-08-25,P007,Pain au Chocolat,Bakery,Gourmet Beans,31,1.52
2025-08-25,P008,Bagel,Bakery,FreshDairy,27,6.88
2025-08-25,P009,Sourdough Loaf,Bakery,FreshDairy,8,3.36
2025-08-25,P010,Muffin,Bakery,FreshDairy,11,7.26
2025-08-25,P011,Bottled Water 500ml,Beverage,Gourmet Beans,66,2.3
2025-08-25,P012,Orange Juice 1L,Beverage,QuickSupplies,26,2.82
2025-08-25,P013,Sandwich Ham-Cheese,Food,FreshDairy,1,4.49
2025-08-25,P014,Sandwich Veggie,Food,Gourmet Beans,12,3.7
2025-08-25,P015,Chocolate Bar,Food,QuickSupplies,9,3.24
2025-08-25,P016,Cookie Pack,Food,Local Bakery Co,26,9.06
2025-08-25,P017,Cold Brew 330ml,Beverage,QuickSupplies,44,5.34
2025-08-25,P018,Iced Latte 330ml,Beverage,Gourmet Beans,17,4.68
2025-08-25,P019,Cup 8oz,Supply,Gourmet Beans,10,0.45
2025-08-25,P020,Paper Cup 12oz,Supply,BeverageHub,12,1.05
2025-08-26,P001,Espresso Beans 250g,Beverage,Gourmet Beans,8,7.58
2025-08-26,P002,Espresso Beans 1kg,Beverage,BeverageHub,20,2.81
2025-08-26,P003,Ground Coffee 500g,Beverage,BeverageHub,27,7.25
2025-08-26,P004,Latte Milk 1L,Dairy,QuickSupplies,3,7.78
2025-08-26,P005,Oat Milk 1L,Dairy,Local Bakery Co,12,9.61
2025-08-26,P006,Croissant,Bakery,FreshDairy,4,6.35
2025-08-26,P007,Pain au Chocolat,Bakery,Gourmet Beans,35,1.52
2025-08-26,P008,Bagel,Bakery,FreshDairy,28,6.88
2025-08-26,P009,Sourdough Loaf,Bakery,FreshDairy,5,3.36
2025-08-26,P010,Muffin,Bakery,FreshDairy,10,7.26
2025-08-26,P011,Bottled Water 500ml,Beverage,Gourmet Beans,63,2.3
2025-08-26,P012,Orange Juice 1L,Beverage,QuickSupplies,28,2.82
2025-08-26,P013,Sandwich Ham-Cheese,Food,FreshDairy,0,4.49
