equipment_id,machine_type,operating_hours,part_number,part_category,part_price_usd,failure_rate_est,expected_replacement_interval_hours,supplier,lead_time_days,downtime_impact_hours
EQ-0001,Bulldozer,2453,PART-3849,Engine,105.49,0.2590163772182503,3156,LocalVendor2,20,178
EQ-0002,AsphaltPlant,3208,PART-2742,Engine,66.54,0.18642658081195831,2631,Dynapac,4,160
EQ-0003,Excavator,1579,PART-2306,Transmission,429.19,0.07598214995792717,1309,Dynapac,10,101
EQ-0004,AsphaltPlant,2880,PART-4849,Filters,243.58,0.19409865882432742,2520,CAT,37,175
EQ-0005,AsphaltPlant,4511,PART-8519,Engine,617.34,0.08915233513488582,3625,CAT,32,158
EQ-0006,Roller,1823,PART-5195,Filters,195.06,0.1259924383690342,1691,CAT,50,187
EQ-0007,Excavator,1419,PART-6178,Transmission,105.28,0.17681575099313732,1768,CAT,18,52
EQ-0008,Excavator,2200,PART-3555,Transmission,593.18,0.09366684573668825,2352,LocalVendor1,56,33
EQ-0009,Excavator,2394,PART-3305,Electrical,288.83,0.06975197852975508,2267,Wirtgen,24,31
EQ-0010,AsphaltPlant,3725,PART-8619,Filters,112.92,0.18260413229435762,4695,LocalVendor1,35,150
EQ-0011,Bulldozer,2166,PART-3642,Engine,432.3,0.2807056943018621,1579,Dynapac,42,108
EQ-0012,Excavator,1901,PART-7409,Engine,264.69,0.23702640313356246,1570,LocalVendor1,42,64
EQ-0013,AsphaltPlant,1401,PART-5757,Filters,328.14,0.19950303295350663,1456,Volvo,6,110
EQ-0014,Roller,963,PART-3994,Filters,235.36,0.21854298049128135,1029,LocalVendor2,16,73
EQ-0015,Bulldozer,1198,PART-9751,Filters,579.32,0.19464036480273414,867,CAT,48,118
EQ-0016,Roller,1195,PART-2271,Wear,580.82,0.1814930160586575,1125,Volvo,4,25
EQ-0017,Bulldozer,2064,PART-2813,Engine,420.73,0.2129032487719053,2248,LocalVendor2,20,156
EQ-0018,AsphaltPlant,1057,PART-9801,Transmission,83.41,0.05421458355621843,1182,Volvo,29,106
EQ-0019,Paver,2275,PART-3461,Engine,597.63,0.1639639709610039,2463,Dynapac,4,135
EQ-0020,Bulldozer,4954,PART-5120,Wear,383.52,0.14433362556293095,4420,CAT,39,99
EQ-0021,Roller,3773,PART-7124,Filters,408.23,0.15552319818011945,2852,Volvo,5,194
EQ-0022,AsphaltPlant,2054,PART-9475,Electrical,185.29,0.11770394496772471,1964,Dynapac,25,109
EQ-0023,Bulldozer,6362,PART-5396,Filters,684.28,0.18643414913419626,4944,CAT,32,129
EQ-0024,Paver,2397,PART-1816,Filters,437.7,0.0927450393218675,3040,Wirtgen,46,6
EQ-0025,Paver,2553,PART-8304,Wear,85.83,0.1126301549425576,2514,Dynapac,46,70
EQ-0026,Excavator,2180,PART-8331,Engine,207.16,0.10422840604435296,1940,LocalVendor1,12,117
EQ-0027,Excavator,2298,PART-1082,Filters,702.47,0.21047626460889085,2665,CAT,38,174
EQ-0028,Roller,1794,PART-2920,Engine,64.5,0.14917935477535646,1791,Volvo,2,166
EQ-0029,Bulldozer,2068,PART-8817,Hydraulic,1026.48,0.11774173621422658,1832,LocalVendor2,10,46
EQ-0030,Bulldozer,4363,PART-3093,Transmission,391.05,0.12385992134886735,5179,Volvo,18,24
EQ-0031,Excavator,3954,PART-8071,Engine,349.39,0.15027164316762848,4825,LocalVendor1,55,101
EQ-0032,Bulldozer,733,PART-8967,Electrical,144.64,0.26355224432088975,809,LocalVendor1,2,72
EQ-0033,Bulldozer,1119,PART-9367,Transmission,135.82,0.06344357645573295,814,Volvo,4,177
EQ-0034,Paver,1589,PART-6285,Electrical,904.49,0.19728569983758498,1652,LocalVendor2,48,79
EQ-0035,Excavator,3496,PART-5937,Filters,156.26,0.18303036366217054,4048,CAT,27,129
EQ-0036,AsphaltPlant,3993,PART-1369,Transmission,498.17,0.08819242210872569,3122,Dynapac,54,174
EQ-0037,Excavator,3202,PART-2818,Engine,199.83,0.25268113031082806,2680,LocalVendor1,32,51
EQ-0038,AsphaltPlant,1313,PART-3101,Transmission,94.99,0.18774963156164734,1614,LocalVendor1,27,9
EQ-0039,Paver,1811,PART-4490,Filters,53.23,0.11445866877391703,1289,LocalVendor1,24,53
EQ-0040,Roller,2902,PART-2779,Wear,285.75,0.019841067183761774,3342,LocalVendor2,31,128
EQ-0041,Bulldozer,2083,PART-8674,Electrical,1166.16,0.16604027841493788,2050,Wirtgen,11,41
EQ-0042,Paver,1951,PART-2364,Filters,188.2,0.14686780906708116,1888,LocalVendor2,9,166
EQ-0043,Bulldozer,1964,PART-8294,Wear,182.57,0.07785009481137165,1383,CAT,45,150
EQ-0044,Roller,3822,PART-4676,Transmission,176.52,0.0769469912905054,4554,CAT,26,23
EQ-0045,Roller,3034,PART-3426,Transmission,270.53,0.21079569069836535,2778,CAT,23,44
EQ-0046,Paver,2014,PART-9264,Filters,224.3,0.01310135648753033,2063,CAT,16,21
EQ-0047,Roller,2703,PART-9089,Engine,685.87,0.17199979285511252,2990,CAT,42,192
EQ-0048,AsphaltPlant,1226,PART-3962,Transmission,261.28,0.1368794117282397,1375,Volvo,57,103
EQ-0049,Roller,1813,PART-1859,Engine,262.64,0.18480083798474076,2309,LocalVendor1,58,97
EQ-0050,Bulldozer,3659,PART-5138,Engine,94.68,0.1293986493097859,3727,LocalVendor2,11,46
EQ-0051,Bulldozer,1023,PART-3424,Engine,1267.8,0.17052924756822202,961,Volvo,21,127
EQ-0052,Bulldozer,3051,PART-5017,Hydraulic,136.29,0.09800576088299034,3881,LocalVendor2,42,111
EQ-0053,Bulldozer,729,PART-9560,Wear,72.86,0.1465556558678642,791,Wirtgen,48,76
EQ-0054,AsphaltPlant,4687,PART-9342,Wear,376.43,0.18423587147055198,4119,Dynapac,24,69
EQ-0055,Excavator,1792,PART-2134,Transmission,321.43,0.1605610309892829,1390,LocalVendor1,54,113
EQ-0056,Paver,2791,PART-6166,Transmission,210.92,0.1766214789681081,3364,Wirtgen,54,57
EQ-0057,Bulldozer,2458,PART-6119,Engine,214.55,0.08504550903838472,2254,Volvo,2,139
EQ-0058,Roller,2499,PART-6694,Hydraulic,511.22,0.10865278066806035,2739,Dynapac,3,137
EQ-0059,Bulldozer,2681,PART-7136,Engine,115.34,0.10986621125488383,2634,Wirtgen,59,28
EQ-0060,Roller,930,PART-6485,Hydraulic,564.86,0.1306457171089273,762,LocalVendor2,20,32
EQ-0061,Roller,2522,PART-5164,Engine,363.87,0.24510080087324798,2675,Dynapac,15,66
EQ-0062,Bulldozer,2140,PART-3346,Electrical,212.89,0.12520748711250093,1575,LocalVendor2,9,21
EQ-0063,AsphaltPlant,1797,PART-6039,Electrical,233.76,0.06995083781641497,1703,Wirtgen,39,24
EQ-0064,Roller,1589,PART-5897,Filters,138.98,0.18791519814954147,1633,Volvo,13,7
EQ-0065,Roller,2551,PART-9252,Engine,468.44,0.2442650402004137,2453,LocalVendor2,27,169
EQ-0066,Bulldozer,1428,PART-6041,Transmission,265.77,0.06171517037033834,1641,Dynapac,28,147
EQ-0067,Roller,3630,PART-4901,Wear,166.08,0.2880967528302663,4344,Wirtgen,30,55
EQ-0068,Roller,2881,PART-2337,Filters,321.94,0.179062362162615,3349,LocalVendor2,16,180
EQ-0069,Bulldozer,2620,PART-2184,Transmission,1687.16,0.22237235523478738,1895,Volvo,47,140
EQ-0070,Bulldozer,3563,PART-5426,Electrical,221.42,0.25269501445303205,2909,LocalVendor1,54,145
EQ-0071,Paver,856,PART-2551,Engine,810.32,0.21808323498954196,874,Volvo,2,180
EQ-0072,AsphaltPlant,1206,PART-2629,Filters,176.94,0.14226250820946226,1520,Volvo,44,7
EQ-0073,AsphaltPlant,2938,PART-2526,Engine,66.89,0.23523887009339906,3528,LocalVendor1,29,197
EQ-0074,Roller,1633,PART-2361,Electrical,118.54,0.16782198389096437,1968,Volvo,58,77
EQ-0075,AsphaltPlant,1733,PART-5370,Filters,212.74,0.22633393074353478,1528,LocalVendor1,4,163
EQ-0076,Roller,1119,PART-6283,Electrical,124.4,0.23399128386464782,1071,LocalVendor1,52,109
EQ-0077,Paver,1430,PART-8610,Hydraulic,50.07,0.0736372387019062,1404,LocalVendor2,19,122
EQ-0078,Bulldozer,3666,PART-2993,Electrical,789.54,0.20560107923839044,2912,LocalVendor2,53,158
EQ-0079,Bulldozer,2907,PART-1869,Engine,607.14,0.13726756570406398,2089,LocalVendor1,35,188
EQ-0080,Bulldozer,2538,PART-2014,Wear,456.78,0.15967334457488103,3218,Wirtgen,33,38
EQ-0081,AsphaltPlant,1765,PART-1602,Electrical,105.11,0.15889649241899584,1490,Dynapac,30,141
EQ-0082,Paver,2467,PART-1690,Transmission,88.47,0.15608791523027507,2082,Wirtgen,26,66
EQ-0083,AsphaltPlant,3807,PART-9685,Wear,71.0,0.25664677185603274,2855,LocalVendor1,27,124
EQ-0084,AsphaltPlant,1653,PART-1489,Hydraulic,436.24,0.05434866611741555,2077,Dynapac,40,119
EQ-0085,Paver,2295,PART-7864,Filters,842.71,0.029435965019114968,2404,LocalVendor2,9,17
EQ-0086,Paver,4816,PART-8240,Filters,218.92,0.014669694983409864,5298,Dynapac,20,73
EQ-0087,Paver,3184,PART-8786,Wear,88.06,0.22484009847551395,3970,LocalVendor1,55,173
EQ-0088,Paver,1777,PART-9024,Filters,265.47,0.0958593755692638,1612,LocalVendor2,48,81
EQ-0089,Bulldozer,3071,PART-1294,Electrical,178.7,0.15925305286604205,3294,Dynapac,43,5
EQ-0090,Excavator,1015,PART-6488,Wear,190.92,0.14196980131127945,734,Dynapac,23,93
